cand,pass_,season,agl,snr_med,f_snr5,f_snr10,f_eval,ops_pick,thick_med,relief,atm_r_med,atm_r_p90,grounded,floating
A,20091020_06,2009,10273,9.1,0.96,0.45,0.9,0.9,1727,1116,8.3,104.2,0.93,0.07
A,20121023_04,2012,9220,17.7,0.9,0.88,0.9,0.9,1727,1116,8.3,104.2,0.93,0.07
A,20141029_05,2014,456,16.5,0.96,0.87,0.9,0.9,1727,1116,8.3,104.2,0.93,0.07
A,20161104_05,2016,451,14.8,0.96,0.84,0.9,0.9,1727,1116,8.3,104.2,0.93,0.07
A,20181107_01,2018,447,16.6,0.96,0.89,0.9,0.9,1727,1116,8.3,104.2,0.93,0.07
B,20091020_06,2009,10273,14.5,1.0,0.95,0.86,0.87,1533,879,30.8,95.7,0.65,0.35
B,20121023_04,2012,9220,14.8,0.86,0.79,0.88,0.87,1533,879,30.8,95.7,0.65,0.35
B,20141029_05,2014,456,30.0,0.98,0.92,0.87,0.87,1533,879,30.8,95.7,0.65,0.35
B,20161104_05,2016,451,28.2,0.97,0.91,0.87,0.87,1533,879,30.8,95.7,0.65,0.35
B,20181107_01,2018,447,29.9,0.98,0.94,0.87,0.87,1533,879,30.8,95.7,0.65,0.35
C,20121023_04,2012,9220,18.4,1.0,1.0,0.9,0.91,1094,894,35.6,83.2,0.53,0.47
C,20141029_05,2014,456,22.5,0.9,0.84,0.91,0.91,1094,894,35.6,83.2,0.53,0.47
C,20161104_05,2016,451,21.7,0.9,0.86,0.91,0.91,1094,894,35.6,83.2,0.53,0.47
C,20181107_01,2018,447,24.1,0.89,0.85,0.91,0.91,1094,894,35.6,83.2,0.53,0.47
D,20121023_04,2012,9220,21.9,1.0,1.0,1.0,1.0,529,319,4.8,107.2,0.66,0.34
D,20141029_05,2014,456,27.8,1.0,0.97,1.0,1.0,529,319,4.8,107.2,0.66,0.34
D,20161104_05,2016,451,26.8,1.0,0.96,1.0,1.0,529,319,4.8,107.2,0.66,0.34
D,20181107_01,2018,447,30.0,1.0,0.98,1.0,1.0,529,319,4.8,107.2,0.66,0.34
E,20091020_06,2009,10273,8.5,0.98,0.39,0.53,0.54,1413,265,4.8,8.6,1.0,0.0
E,20121023_04,2012,9220,19.2,1.0,1.0,0.53,0.54,1413,265,4.8,8.6,1.0,0.0
E,20141029_05,2014,456,37.0,1.0,0.99,0.54,0.54,1413,265,4.8,8.6,1.0,0.0
E,20161104_05,2016,451,27.0,1.0,0.93,0.51,0.54,1413,265,4.8,8.6,1.0,0.0
E,20181107_01,2018,447,34.1,1.0,0.99,0.5,0.54,1413,265,4.8,8.6,1.0,0.0
