cand,seg,agl,part,n_km,cl_std,cl_mvdr,d_clut,vis_std,vis_mvdr,nf_std,nf_mvdr
A,20091020_06,10273,all,90,-1.3,1.2,2.5,0.0,0.11,6.0,4.7
A,20091020_06,10273,ice<1000 m,29,-2.8,0.2,3.0,0.0,0.23,7.6,13.8
A,20091020_06,10273,ice>1000 m,60,-0.8,1.3,2.1,0.0,0.05,5.1,3.9
A,20121023_04,9220,all,90,-1.9,5.3,7.2,0.0,0.46,8.6,12.2
A,20121023_04,9220,ice<1000 m,29,-2.9,3.7,6.6,0.01,0.29,9.0,16.7
A,20121023_04,9220,ice>1000 m,60,-1.6,6.5,8.2,0.0,0.53,8.4,9.5
B,20091020_06,10273,all,87,-1.2,3.1,4.3,0.0,0.21,5.4,6.9
B,20091020_06,10273,ice<1000 m,26,-2.4,2.4,4.8,0.0,0.23,7.7,10.1
B,20091020_06,10273,ice>1000 m,61,-0.8,3.3,4.1,0.0,0.21,4.6,5.7
B,20121023_04,9220,all,87,-1.0,5.9,7.0,0.0,0.49,6.9,10.3
B,20121023_04,9220,ice<1000 m,26,-2.7,4.8,7.6,0.0,0.42,7.7,8.5
B,20121023_04,9220,ice>1000 m,61,-0.4,6.3,6.7,0.0,0.53,6.5,11.1
C,20121023_04,9220,all,91,0.1,6.2,6.1,0.12,0.5,8.4,11.6
C,20121023_04,9220,ice<1000 m,40,4.0,14.0,10.0,0.27,0.95,12.7,18.6
C,20121023_04,9220,ice>1000 m,51,-1.2,1.4,2.6,0.0,0.15,6.7,8.2
D,20121023_04,9220,all,100,-3.9,-0.9,3.0,0.0,0.06,9.9,12.7
D,20121023_04,9220,ice<1000 m,96,-4.0,-1.0,3.0,0.0,0.05,10.0,12.9
E,20091020_06,10273,all,48,-1.9,3.6,5.6,0.0,0.3,7.1,7.4
E,20091020_06,10273,ice>1000 m,48,-1.9,3.6,5.6,0.0,0.3,7.1,7.4
E,20121023_04,9220,all,48,-1.8,8.9,10.7,0.0,0.67,9.1,14.6
E,20121023_04,9220,ice>1000 m,48,-1.8,8.9,10.7,0.0,0.67,9.1,14.6
