collection,sp,frame,fid,t0
2009_Antarctica_DC8,20091020_03,1,20091020_03_001,1256052.461099184
2009_Antarctica_DC8,20091020_03,2,20091020_03_002,1256052.591269868
2009_Antarctica_DC8,20091020_03,3,20091020_03_003,1256052.737544162
2009_Antarctica_DC8,20091020_03,4,20091020_03_004,1256052.94339915
2009_Antarctica_DC8,20091020_03,5,20091020_03_005,1256053.160013594
2009_Antarctica_DC8,20091020_03,6,20091020_03_006,1256053.334189885
2009_Antarctica_DC8,20091020_03,7,20091020_03_007,1256053.476287988
2009_Antarctica_DC8,20091020_03,8,20091020_03_008,1256053.625965144
2009_Antarctica_DC8,20091020_03,9,20091020_03_009,1256053.808227502
2009_Antarctica_DC8,20091020_03,10,20091020_03_010,1256053.952153645
2009_Antarctica_DC8,20091020_06,1,20091020_06_001,1256056.881288483
2009_Antarctica_DC8,20091020_06,2,20091020_06_002,1256057.117513099
2009_Antarctica_DC8,20091020_06,3,20091020_06_003,1256057.361306741
2009_Antarctica_DC8,20091020_06,4,20091020_06_004,1256057.545829088
2009_Antarctica_DC8,20091020_06,5,20091020_06_005,1256057.736332707
2009_Antarctica_DC8,20091020_06,6,20091020_06_006,1256057.937250439
2009_Antarctica_DC8,20091020_06,7,20091020_06_007,1256058.143743551
2009_Antarctica_DC8,20091020_06,8,20091020_06_008,1256058.396664866
2009_Antarctica_DC8,20091020_06,9,20091020_06_009,1256058.695607401
2009_Antarctica_DC8,20091020_06,10,20091020_06_010,1256058.95794884
2009_Antarctica_DC8,20091020_06,11,20091020_06_011,1256059.112372787
2009_Antarctica_DC8,20091020_06,12,20091020_06_012,1256059.314995054
2009_Antarctica_DC8,20091020_06,13,20091020_06_013,1256059.556094148
2009_Antarctica_DC8,20091020_06,14,20091020_06_014,1256059.754890687
2009_Antarctica_DC8,20091020_06,15,20091020_06_015,1256060.063029633
2009_Antarctica_DC8,20091020_06,16,20091020_06_016,1256060.366147688
2009_Antarctica_DC8,20091020_06,17,20091020_06_017,1256060.564067214
2009_Antarctica_DC8,20091020_06,18,20091020_06_018,1256060.807547656
2009_Antarctica_DC8,20091020_06,19,20091020_06_019,1256061.046361479
2009_Antarctica_DC8,20091020_06,20,20091020_06_020,1256061.236751191
2009_Antarctica_DC8,20091020_06,21,20091020_06_021,1256061.412008176
2009_Antarctica_DC8,20091020_06,22,20091020_06_022,1256061.606571337
2009_Antarctica_DC8,20091020_06,23,20091020_06_023,1256061.842535119
2009_Antarctica_DC8,20091020_06,24,20091020_06_024,1256062.077857724
2009_Antarctica_DC8,20091020_06,25,20091020_06_025,1256062.271480059
2009_Antarctica_DC8,20091020_06,26,20091020_06_026,1256062.472209823
2009_Antarctica_DC8,20091020_06,27,20091020_06_027,1256062.658878722
2009_Antarctica_DC8,20091020_06,28,20091020_06_028,1256062.842595374
2009_Antarctica_DC8,20091020_06,29,20091020_06_029,1256063.075230711
2009_Antarctica_DC8,20091020_06,30,20091020_06_030,1256063.368153582
2009_Antarctica_DC8,20091020_06,31,20091020_06_031,1256063.599975752
2009_Antarctica_DC8,20091020_06,32,20091020_06_032,1256063.764890533
2009_Antarctica_DC8,20091020_06,33,20091020_06_033,1256063.99521899
2009_Antarctica_DC8,20091020_06,34,20091020_06_034,1256064.235779233
2009_Antarctica_DC8,20091020_06,35,20091020_06_035,1256064.433847342
2009_Antarctica_DC8,20091020_06,36,20091020_06_036,1256064.689921188
2009_Antarctica_DC8,20091020_06,37,20091020_06_037,1256064.920975559
