win,atm_cells,r_med_p50,r_med_p90,r_med_max,n_t2,t2_adeq,t2_adeq_bragg,t2_sigma_cm,t2_l_m,t2_mis15,sites
0,2001,8.319614,104.15297,104.15297,1,0.0,0.0,444.7188993483289,172.1392780054102,3.030122668768336,aa_r0_134111
1,2001,13.247132,104.15297,104.15297,1,0.0,0.0,444.7188993483289,172.1392780054102,3.030122668768336,aa_r0_134111
2,2001,35.605232,83.217445,83.217445,2,0.5,0.5,277.9721916208903,118.37881839974946,3.030122668768336,"aa_r0_132369,aa_r0_134111"
3,2001,30.792957,95.74785,95.74785,2,0.5,0.5,226.2350697297991,95.78208350631839,3.030122668768336,"aa_r0_134111,aa_r1_140490"
4,2001,8.319614,62.948395,104.15297,1,0.0,0.0,444.7188993483289,172.1392780054102,3.030122668768336,aa_r0_134111
5,1600,3.6487803,3.9357321,4.9295545,1,1.0,1.0,7.751240111269331,19.42488900722657,0.0,aa_r1_140490
6,2000,4.837613,107.237274,107.237274,1,1.0,1.0,111.2254838934518,64.6183587940887,0.0,aa_r0_132369
7,1400,46.31627,117.694405,117.694405,1,0.0,0.0,444.7188993483289,172.1392780054102,3.030122668768336,aa_r0_134111
8,1801,5.0623317,95.74785,95.74785,2,0.5,0.5,226.2350697297991,95.78208350631839,3.030122668768336,"aa_r0_134111,aa_r1_140490"
9,2001,20.266333,83.217445,83.217445,2,0.5,0.5,226.2350697297991,95.78208350631839,3.030122668768336,"aa_r0_134111,aa_r1_140490"
10,1800,4.8082433,8.56517,15.529173,1,1.0,1.0,7.751240111269331,19.42488900722657,0.0,aa_r1_140490
11,1601,5.494179,20.266333,53.91868,1,1.0,1.0,7.751240111269331,19.42488900722657,0.0,aa_r1_140490
12,1600,4.3994427,8.56517,8.56517,1,1.0,1.0,7.751240111269331,19.42488900722657,0.0,aa_r1_140490
