high,low,n_low,j,k,W,L_km,dev,bed_frac,agl_h,d_med,d_max,thick,relief,lat0,lon0,lat1,lon1,mx,my,score
2012_Antarctica_DC8__20121023_04,2018_Antarctica_DC8__20181107_01,7,18718,20719,100,99.9883131352365,21.56901526819911,0.8975512243878061,9291.90534778268,14.880487663360707,42.643356248819046,1727.4112351733704,1116.1609593957357,-75.3503863987,-100.2190773317,-75.5599587231,-96.7098188124,-1570438.9104498192,-234065.49855332304,2.992143168515343
2012_Antarctica_DC8__20121023_04,2014_Antarctica_DC8__20141029_05,8,26038,28039,100,99.99711624230655,34.79527755270101,0.9365317341329336,9264.358917779351,15.198704416888985,223.24464669761284,1771.6675252832924,965.6472332443478,-75.3117607932,-100.1698693072,-75.5202100643,-96.6687783054,-1574902.4981631967,-233459.33461207815,2.8673836898245804
2012_Antarctica_DC8__20121023_04,2014_Antarctica_DC8__20141029_05,9,31103,33104,100,99.9926885553936,25.61561202451776,0.9140429785107447,9584.089073198638,17.006404290213272,47.875763724719434,1093.8924208393257,893.6112656313792,-75.3467080592,-97.3150967765,-75.128783244,-100.7642292082,-1591723.904171308,-253600.52213619056,2.782038632117606
2012_Antarctica_DC8__20121023_04,2016_Antarctica_DC8__20161104_05,10,10406,12407,100,99.99108226347971,28.92667701725668,0.8735632183908046,9331.77024988523,14.38807922873505,42.930335689226,1533.278473495795,878.9818349851594,-75.2044116159,-100.3762049457,-75.4166335673,-96.904338692,-1585505.1176672264,-241284.0282216,2.7236183763587074
2009_Antarctica_DC8__20091020_06,2018_Antarctica_DC8__20181107_01,8,657,2658,100,99.9923243217831,11.054550124663365,0.5937031484257871,9831.357892557042,19.0882596472091,44.37834861874085,1117.003644875374,1027.5196966933763,-75.5679352487,-96.5506658574,-75.3610000332,-100.0648333669,-1570057.189522243,-229617.2555708237,2.6101682949945
2012_Antarctica_DC8__20121023_04,2011_Antarctica_DC8__20111026_03,5,4512,6112,80,79.95834002362636,18.066470023648435,0.995625,8937.48920497279,51.71755429603511,82.15279731634209,1337.403787077247,599.5137494293285,-74.444619095,-94.9171032927,-75.1389508217,-95.6925009115,-1654671.5250607524,-153378.39043183942,2.37707227940568
2012_Antarctica_DC8__20121023_04,2016_Antarctica_DC8__20161104_05,11,7023,9023,100,99.94286170042918,71.21109423358064,1.0,9458.422820135343,14.933257436833468,154.98910054371052,528.949277423111,319.36647203633254,-75.1721361267,-97.1066962121,-74.9586046953,-100.5178488796,-1611536.5776858134,-250187.6673180177,2.248155377802752
2012_Antarctica_DC8__20121023_04,2011_Antarctica_DC8__20111014_07,12,75089,76489,70,69.94197474234318,22.732847832332936,0.8164285714285714,9615.755401056034,250.9249442993206,757.3095615588012,755.1212080758003,672.5337536697773,-75.5993906123,-99.9680272426,-74.9928908757,-99.2460215189,-1583572.2720610432,-267826.9858273192,2.166229477266016
2009_Antarctica_DC8__20091020_06,2016_Antarctica_DC8__20161104_05,9,36282,38083,90,89.99750058196625,141.48002499589052,0.9367018323153803,10462.18118268064,26.067254639202638,124.64331646360596,1698.337349963375,414.04489617454556,-75.2509374745,-99.688021105,-75.4350082485,-96.5500864405,-1584233.733804207,-226288.3470450914,2.1092667034940353
2012_Antarctica_DC8__20121023_04,2016_Antarctica_DC8__20161104_05,9,22188,24189,100,99.9944251542103,36.5677233148873,0.5257371314342829,9363.42833345003,15.987939840977615,39.90871201264356,1359.069108007092,537.1688804521923,-75.3337637958,-96.5795171804,-75.1267441775,-100.0372492079,-1595647.7393736136,-233366.7076027947,2.026338288571588
2012_Antarctica_DC8__20121023_04,2016_Antarctica_DC8__20161104_05,8,14595,16395,90,89.95153033113131,16.365226876353177,0.5355555555555556,9142.48129190403,14.466586938680823,788.744550546261,1412.7427711226942,264.9737972484638,-75.3113594695,-95.6805660664,-75.1401537117,-98.8031919225,-1600352.312017161,-203619.61101686434,1.6841641259276663
2009_Antarctica_DC8__20091020_03,2016_Antarctica_DC8__20161104_05,7,3933,5534,80,79.99266196817739,17.934539246834447,0.5577763897564022,9688.692657644,19.954050164614404,137.70349189744888,1622.516961262241,218.49148467603482,-75.2137682537,-98.6962719707,-75.3671264615,-95.9080123364,-1593182.3804057995,-204359.53924136818,1.5583333351856026
2009_Antarctica_DC8__20091020_06,2016_Antarctica_DC8__20161104_05,7,20611,22211,80,79.95046300939774,55.01207870718008,0.505,10256.492078284551,16.088856264872454,779.7152933793702,1449.3253021070504,177.4399755115943,-75.3109221693,-95.6824977918,-75.1611104594,-98.4617477476,-1599955.1810437455,-198696.55679336318,1.4274278968044143
