key,collection,segment,n,agl_med,agl_p10,agl_p90,bot_frac
2016_Antarctica_DC8__20161109_03,2016_Antarctica_DC8,20161109_03,161950,433.0352159581,411.83988917749997,472.3979656935,0.9430626736647113
2009_Antarctica_TO__20100103_02,2009_Antarctica_TO,20100103_02,24357,434.69906410000004,404.7198183,464.6783099,0.9991788808145502
2009_Antarctica_TO__20100103_01,2009_Antarctica_TO,20100103_01,23808,434.69906410000004,397.22500685,502.15236715000003,0.9975218413978495
2011_Antarctica_DC8__20111111_03,2011_Antarctica_DC8,20111111_03,141506,435.916970960625,404.38554970932995,3216.545981553065,0.9811739431543539
2011_Antarctica_DC8__20111109_02,2011_Antarctica_DC8,20111109_02,155679,440.52852844581,410.73335521502196,481.8264384976,0.9061980100077724
2011_Antarctica_DC8__20111014_08,2011_Antarctica_DC8,20111014_08,2837,442.95984528019,427.75137388585006,458.57033836070804,0.9996475149806133
2018_Antarctica_DC8__20181107_01,2018_Antarctica_DC8,20181107_01,156646,446.69076242,413.71359204,506.64925402,0.9938779158101707
2010_Antarctica_DC8__20101106_03,2010_Antarctica_DC8,20101106_03,114536,449.26448067192996,409.812542680275,512.8699475235001,0.9787926940001397
2009_Antarctica_TO__20100104_01,2009_Antarctica_TO,20100104_01,20688,449.688687,397.22500685,494.65755570000005,0.997293116782676
2010_Antarctica_DC8__20101119_05,2010_Antarctica_DC8,20101119_05,47457,450.13687672471,361.0100779236,508.82574726508,0.9774532734896854
2010_Antarctica_DC8__20101120_03,2010_Antarctica_DC8,20101120_03,131251,450.88785683199995,413.75256505953996,512.92840705281,0.9981409665450168
2016_Antarctica_DC8__20161104_05,2016_Antarctica_DC8,20161104_05,150713,451.20263891290006,404.147814290136,531.2022563302011,0.9679523332426533
2016_Antarctica_DC8__20161103_06,2016_Antarctica_DC8,20161103_06,136535,451.20263891290006,411.83988917749997,687.2469288513222,0.992456146775552
2014_Antarctica_DC8__20141103_04,2014_Antarctica_DC8,20141103_04,130724,453.74188103216,425.70529036,590.6178237887619,0.999403323031731
2010_Antarctica_DC8__20101119_04,2010_Antarctica_DC8,20101119_04,67563,454.56930821624,417.041887908716,490.518621024852,1.0
2014_Antarctica_DC8__20141029_05,2014_Antarctica_DC8,20141029_05,152755,455.68453616,425.945723911316,523.23077487198,0.9872802854243724
2011_Antarctica_DC8__20111104_02,2011_Antarctica_DC8,20111104_02,135163,458.80987253465,418.0905619268,4079.2612861755583,0.9711459497051708
2011_Antarctica_DC8__20111113_02,2011_Antarctica_DC8,20111113_02,144093,460.00904236664996,405.58801725836804,3229.9063823400643,0.7372322042014532
2009_Antarctica_TO__20100105_01,2009_Antarctica_TO,20100105_01,10668,463.47689162456504,422.3476148304,534.76379073124,0.9454443194600675
2018_Antarctica_DC8__20181115_01,2018_Antarctica_DC8,20181115_01,125393,464.6783099,407.71774287999995,1738.7962564000002,0.9454036509215028
2011_Antarctica_DC8__20111014_07,2011_Antarctica_DC8,20111014_07,102905,465.13699236074,386.397702436872,526.94970031347,0.9922549924687819
2011_Antarctica_DC8__20111112_02,2011_Antarctica_DC8,20111112_02,82542,466.02737596099996,418.6451779741,4139.526615356321,0.9237236800659059
2009_Antarctica_DC8__20091109_02,2009_Antarctica_DC8,20091109_02,120400,466.5819920083,431.62619140550004,663.0773610949043,0.9997176079734219
2018_Antarctica_DC8__20181022_01,2018_Antarctica_DC8,20181022_01,153996,467.67623448,437.69698868,527.6347260800001,0.9336671082365776
2014_Antarctica_DC8__20141107_09,2014_Antarctica_DC8,20141107_09,108531,468.8304354433,392.72811998,710.06443262216,0.977453446480729
2011_Antarctica_DC8__20111112_03,2011_Antarctica_DC8,20111112_03,78171,469.74929932707,418.6451779741,3538.03666818196,0.9802612221923731
2012_Antarctica_DC8__20121012_03,2012_Antarctica_DC8,20121012_03,134796,471.4985883195,426.84375221925507,1534.88342231756,0.9954672245467224
2009_Antarctica_TO__20100112_01,2009_Antarctica_TO,20100112_01,17864,472.17312135,389.7301954,524.6368015,0.9952978056426333
2009_Antarctica_TO__20100101_02,2009_Antarctica_TO,20100101_02,25002,472.17312135,419.70944119999996,509.6471786,0.9956003519718423
2016_Antarctica_DC8__20161112_04,2016_Antarctica_DC8,20161112_04,144680,472.26006116281997,417.8956968291,881.2099510452,0.8989701410008294
2009_Antarctica_DC8__20091118_01,2009_Antarctica_DC8,20091118_01,107740,473.33481712475,410.22400782888,545.0003541058791,0.9990347131984407
2012_Antarctica_DC8__20121016_02,2012_Antarctica_DC8,20121016_02,147710,473.51619156184,442.67654140738,1670.498138203359,0.9892627445670571
2011_Antarctica_DC8__20111026_03,2011_Antarctica_DC8,20111026_03,169143,476.40469189467,417.243048648034,3276.87696528213,0.989021124137564
2009_Antarctica_TO__20100111_01,2009_Antarctica_TO,20100111_01,24670,482.30310850582003,443.01380792263,549.75341363124,0.9999594649371707
2014_Antarctica_DC8__20141121_06,2014_Antarctica_DC8,20141121_06,83912,488.707424889845,457.27643411198005,539.861311790843,0.9637000667365812
2014_Antarctica_DC8__20141106_06,2014_Antarctica_DC8,20141106_06,151030,489.020708008455,452.68661158,545.726001750468,0.9827650135734622
2009_Antarctica_DC8__20091029_02,2009_Antarctica_DC8,20091029_02,104809,491.92944433220003,453.00139366089996,568.471555331386,0.9999904588346421
2010_Antarctica_DC8__20101119_03,2010_Antarctica_DC8,20101119_03,26676,498.704753883,435.39008571569,3435.9970587336447,0.99160293897136
2014_Antarctica_DC8__20141121_05,2014_Antarctica_DC8,20141121_05,45661,500.65340486,461.68038532,1092.56962978436,0.9896848514049189
2009_Antarctica_DC8__20091107_01,2009_Antarctica_DC8,20091107_01,163618,503.57937925008,419.033109414752,709.99697931911,0.9999938882030095
2012_Antarctica_DC8__20121104_05,2012_Antarctica_DC8,20121104_05,147304,503.96011567174,450.40668993691,743.19899404261,0.9699940259599196
2009_Antarctica_DC8__20091018_07,2009_Antarctica_DC8,20091018_07,51092,504.3858209621,453.748026777549,3375.071586560372,0.9985320598136694
2009_Antarctica_TO__20100106_03,2009_Antarctica_TO,20100106_03,53683,504.78604389353,429.8424262804,587.22597191895,0.9889164167427305
2009_Antarctica_TO__20091230_02,2009_Antarctica_TO,20091230_02,56440,512.28085534353,467.31348560582,677.15921243208,0.9832034018426647
