s0_km,s1_km,n_shots,swath_m,elev_m,slope,rms_resid_m,primary_class,scan_noise_sigma_m,rms_1-2m,rms_2-4m,rms_4-8m,rms_8-16m,rms_16-32m,rms_32-64m,aniso_1-2m,aniso_2-4m,aniso_4-8m,aniso_8-16m,aniso_16-32m,aniso_32-64m,best,dbic_second,g_sigma,g_l,g_runs_p,e_sigma,e_l,e_runs_p,pl_H,pl_beta,pl_A,pl_runs_p,nugget_sigma,along_best,along_g_l,cross_best,cross_g_l,along_pl_H,cross_pl_H,grid_fill_1m,S_60MHz_best_m4,S_195MHz_best_m4,S_300MHz_best_m4,S_400MHz_best_m4
-14,-13,25490,266.58,1523.1,0.011249,0.26281,same,0.04264,0.010183,0.021945,0.026593,0.028613,0.042268,0.076303,,1.059,1.1825,0.68061,3.9873,1.4542,powerlaw,9.6866,0.10908,21.516,0.0022026,0.34647,500,0.0054632,0.64144,3.2829,2.0366e-05,0.0022026,0.025505,powerlaw,20.464,powerlaw,5.654,0.62386,0.30474,0.081668,9.6207e-06,1.8478e-07,4.8818e-08,1.8985e-08
-13,-12,78923,327.7,1519.2,0.020612,0.35101,same,0.040982,0.017799,0.028226,0.028111,0.03514,0.054438,0.10123,,1.0249,1.1319,0.99498,1.5566,1.7032,powerlaw,1.1605,0.11921,13.074,0.00012424,0.48313,500,0.00011051,0.50884,3.0177,7.0912e-05,0.00011051,0.025505,powerlaw,11.091,powerlaw,3.56,0.46611,0.25246,0.19912,3.5591e-05,9.4071e-07,2.7674e-07,1.1616e-07
-12,-11,78884,326.9,1494.8,0.021579,0.3398,same,0.042133,0.0092354,0.030583,0.028046,0.035379,0.050722,0.097129,,1.1494,1.8201,0.87474,1.6675,1.8222,powerlaw,7.5162,0.10019,7.5372,3.2417e-05,0.27592,143.47,3.0497e-05,0.43348,2.867,9.7299e-05,0.00017737,0.025505,powerlaw,6.6768,powerlaw,2.6743,0.38351,0.21893,0.20178,5.0545e-05,1.6018e-06,5.009e-07,2.1956e-07
-11,-10,79120,320.52,1476.4,0.036386,0.14695,same,0.041361,0.010645,0.038387,0.013703,0.017816,0.027288,0.041306,,,0,0.82068,0,1.6346,powerlaw,20.333,0.067262,1.6783,0.0008723,0.071899,2.8711,0.0008723,0.16478,2.3296,0.00010917,0.00022914,0.025505,powerlaw,1.2731,exponential,3.8988,0.12964,0.23116,0.20787,6.412e-05,3.8808e-06,1.509e-06,7.7206e-07
-10,-9,77852,319.17,1443.8,0.019313,0.25593,same,0.045075,0,0.023329,0.027741,0.026061,0.041277,0.069865,,5.8608,0.47413,0.76787,3.4271,2.6503,powerlaw,13.646,0.07813,6.6205,3.2417e-05,0.13933,49.431,3.0497e-05,0.3983,2.7966,7.1592e-05,0.012853,0.025505,powerlaw,5.4898,exponential,4.5257,0.37731,0.22957,0.20746,3.7793e-05,1.3035e-06,4.1944e-07,1.8761e-07
-9,-8,79194,368.4,1448.5,0.016681,0.23381,same,0.043764,0,0.024344,0.020837,0.025172,0.035491,0.062958,,0.64166,,0.89198,1.4247,1.8872,powerlaw,0.80355,0.081779,13.772,4.2546e-05,0.33434,500,0.0036341,0.48921,2.9784,3.6323e-05,0.0036341,0.025505,powerlaw,13.583,powerlaw,5.335,0.47235,0.29872,0.18208,1.8395e-05,5.0974e-07,1.5236e-07,6.4678e-08
-8,-7,79080,287.53,1461.9,0.013107,0.086928,same,0.038529,0.0042562,0.022028,0.019912,0.019912,0.024117,0.033662,,1.365,0.66054,0.88439,1.126,1.9025,exponential,4.0693,0.049586,7.9816,0.00011051,0.069143,31.296,0.00010444,0.42072,2.8414,2.37e-05,1.7922e-05,0.025505,powerlaw,9.6698,gaussian,6.9369,0.42324,0.33893,0.22932,1.224e-05,3.3076e-07,9.8009e-08,4.1348e-08
-7,-6,79397,300.75,1469.7,0.0072389,0.1695,same,0.041983,0.0063749,0.02116,0.023292,0.02196,0.032411,0.048875,,1.1914,0.81901,1.0645,1.2962,1.909,powerlaw,0.63483,0.068131,13.651,0.00010444,0.27743,500,0.00011051,0.52255,3.0451,2.1908e-05,0.00012424,0.025505,exponential,13.984,exponential,6.3457,0.50734,0.32012,0.21929,1.0927e-05,2.7943e-07,8.1295e-08,3.3854e-08
-6,-5,79568,362.57,1453.1,0.020814,0.29007,same,0.044109,0,0.029374,0.018488,0.027329,0.046557,0.088491,,1.1465,0.53602,1.6224,1.4518,1.9218,powerlaw,1.7983,0.10568,13.635,2.0079e-05,0.43065,500,0.0005576,0.4719,2.9438,6.3722e-05,0.0005576,0.025505,powerlaw,16.01,powerlaw,4.5087,0.46381,0.28993,0.18521,3.2526e-05,9.397e-07,2.8485e-07,1.2213e-07
-5,-4,80204,440.3,1446.6,0.0047724,0.082842,same,0.043261,0.0073855,0.016509,0.01999,0.022043,0.029927,0.039966,,1.1527,0.85703,0.86981,1.1869,1.6347,gaussian,3.0836,0.061246,18.734,0.00012424,0.21413,500,2.6194e-06,0.65521,3.3104,6.7297e-06,1.7922e-05,0.025505,gaussian,24.806,gaussian,11.523,0.71299,0.46677,0.1528,7.0143e-62,0,0,0
